accession	label
PV752097.1	DENV2
PV752096.1	DENV2
PV752095.1	DENV2
PV752094.1	DENV2
PV752093.1	DENV2
PV752092.1	DENV2
PV752091.1	DENV2
PV752090.1	DENV2
PV752089.1	DENV2
PV752088.1	DENV2
PV752087.1	DENV2
PV752086.1	DENV2
PV752085.1	DENV2
PV752084.1	DENV2
PV752083.1	DENV2
PV791001.1	DENV2
PV791000.1	DENV2
PV790969.1	DENV2
PV790966.1	DENV2
PV789662.1	DENV2
PV789655.1	DENV2
PV088276.1	DENV2
PV018436.1	DENV2
PQ667804.1	DENV2
PQ657766.1	DENV2
PQ465587.1	DENV2
PQ357520.1	DENV2
PQ357519.1	DENV2
PP546320.1	DENV2
PP326824.1	DENV2
PP326823.1	DENV2
OZ457449.1	DENV3
PX480436.1	DENV3
PX480435.1	DENV3
PX480434.1	DENV3
PX480433.1	DENV3
PX480432.1	DENV3
PX480431.1	DENV3
PX480430.1	DENV3
PX480429.1	DENV3
PX480428.1	DENV3
PX480427.1	DENV3
PX480426.1	DENV3
PX480425.1	DENV3
PX480424.1	DENV3
PX480423.1	DENV3
PX480422.1	DENV3
PX480421.1	DENV3
PX480420.1	DENV3
PX480419.1	DENV3
PX480418.1	DENV3
PX480417.1	DENV3
PX480416.1	DENV3
PX480415.1	DENV3
PX480414.1	DENV3
PX480413.1	DENV3
PX480412.1	DENV3
PX480411.1	DENV3
PX480410.1	DENV3
PX480409.1	DENV3
PX480408.1	DENV3
PX480407.1	DENV3
PX480406.1	DENV3
PX480405.1	DENV3
PX480404.1	DENV3
PX480403.1	DENV3
PX480402.1	DENV3
PX480401.1	DENV3
PX480400.1	DENV3
PX480399.1	DENV3
PX480398.1	DENV3
PX480397.1	DENV3
PX480396.1	DENV3
PX480395.1	DENV3
PX480394.1	DENV3
PX480393.1	DENV3
PX480392.1	DENV3
PX480391.1	DENV3
PX480390.1	DENV3
PX480389.1	DENV3
PX480388.1	DENV3
PX480387.1	DENV3
PX480386.1	DENV3
PX480385.1	DENV3
PX480384.1	DENV3
PX480383.1	DENV3
PX480382.1	DENV3
PX480381.1	DENV3
PX480380.1	DENV3
PX480379.1	DENV3
PX480378.1	DENV3
PX480377.1	DENV3
PX480376.1	DENV3
PX480375.1	DENV3
PX480374.1	DENV3
PX480373.1	DENV3
PX480372.1	DENV3
PX480371.1	DENV3
PX480370.1	DENV3
PX480369.1	DENV3
PX480368.1	DENV3
PX480367.1	DENV3
PX480366.1	DENV3
PX480365.1	DENV3
PX480364.1	DENV3
PX480363.1	DENV3
PX480362.1	DENV3
PX480361.1	DENV3
PX480360.1	DENV3
PX480359.1	DENV3
PX480358.1	DENV3
PX480357.1	DENV3
PX480356.1	DENV3
PX480355.1	DENV3
PX480354.1	DENV3
PX480353.1	DENV3
PX480352.1	DENV3
PX480351.1	DENV3
PX480350.1	DENV3
PX480349.1	DENV3
PX480348.1	DENV3
PX480347.1	DENV3
PX480346.1	DENV3
PX480345.1	DENV3
PX480344.1	DENV3
PX480343.1	DENV3
PX480342.1	DENV3
PX480341.1	DENV3
PX480340.1	DENV3
PX480339.1	DENV3
PX480338.1	DENV3
PZ049732.1	DENV4
PX480447.1	DENV4
PX480446.1	DENV4
PX480445.1	DENV4
PX480444.1	DENV4
PX480443.1	DENV4
PX480442.1	DENV4
PX480441.1	DENV4
PX480440.1	DENV4
PX480439.1	DENV4
PX480438.1	DENV4
PX480437.1	DENV4
PX368925.1	DENV4
PX297388.1	DENV4
PV789651.1	DENV4
PV344375.1	DENV4
PV344355.1	DENV4
PV344354.1	DENV4
PP128486.1	DENV4
PV138436.1	DENV4
PV138435.1	DENV4
PQ667806.1	DENV4
PQ555702.1	DENV4
PP586203.1	DENV4
PQ357326.1	DENV4
ON799403.1	DENV4
ON799402.1	DENV4
ON123668.1	DENV4
OL314747.1	DENV4
OL314746.1	DENV4
OL314745.1	DENV4
OL314744.1	DENV4
OL314743.1	DENV4
OL314742.1	DENV4
OL314741.1	DENV4
OL314740.1	DENV4
OL314739.1	DENV4
OL314738.1	DENV4
OL314737.1	DENV4
OL314736.1	DENV4
OL314735.1	DENV4
OP411002.1	DENV4
OP411001.1	DENV4
OP411000.1	DENV4
OP410999.1	DENV4
MZ215848.1	DENV4
OK605771.1	DENV4
OK605770.1	DENV4
OK605769.1	DENV4
OK605768.1	DENV4
OK605767.1	DENV4
OK605599.1	DENV4
MW793460.1	DENV4
MW793459.1	DENV4
MT076955.1	DENV4
MN192436.1	DENV4
MN018398.1	DENV4
MN018397.1	DENV4
MN018396.1	DENV4
MN018395.1	DENV4
MN018394.1	DENV4
MN018393.1	DENV4
MN018392.1	DENV4
MN018391.1	DENV4
MN018390.1	DENV4
KJ579245.1	DENV4
KJ596658.1	DENV4
KJ596659.1	DENV4
KJ596660.1	DENV4
KJ596661.1	DENV4
KJ596662.1	DENV4
KJ596663.1	DENV4
KJ596664.1	DENV4
KJ596665.1	DENV4
KJ596666.1	DENV4
KJ596667.1	DENV4
KJ596668.1	DENV4
KJ596669.1	DENV4
KJ596670.1	DENV4
KJ596671.1	DENV4
KJ596672.1	DENV4
KJ596673.1	DENV4
KJ596674.1	DENV4
KJ579248.1	DENV4
KJ579247.1	DENV4
KJ579246.1	DENV4
KJ579244.1	DENV4
KJ579243.1	DENV4
KJ579242.1	DENV4
KJ579241.1	DENV4
KJ579240.1	DENV4
MH891769.1	DENV4
NC_002640.1	DENV4
MK514144.1	DENV4
MK506266.1	DENV4
KY672960.1	DENV4
KY672959.1	DENV4
KY672958.1	DENV4
KY672957.1	DENV4
KY672956.1	DENV4
