accession	label
PZ283897.1	H5N1
PZ283889.1	H5N1
PZ283881.1	H5N1
PZ283873.1	H5N1
PZ283865.1	H5N1
PZ283857.1	H5N1
PZ283849.1	H5N1
PZ283841.1	H5N1
PZ283833.1	H5N1
PZ283825.1	H5N1
PZ283817.1	H5N1
PZ283809.1	H5N1
PZ283801.1	H5N1
PZ283793.1	H5N1
PZ283785.1	H5N1
PZ283777.1	H5N1
PZ283769.1	H5N1
PZ283761.1	H5N1
PZ283753.1	H5N1
PZ283745.1	H5N1
PZ283737.1	H5N1
PZ283729.1	H5N1
PZ283721.1	H5N1
PZ283713.1	H5N1
PX124884.1	H7N9
PX124876.1	H7N9
PV978729.1	H7N9
PQ656460.1	H7N9
PV572961.1	H7N9
PV572953.1	H7N9
PV572945.1	H7N9
PV572937.1	H7N9
PV240323.1	H7N9
PV240318.1	H7N9
PV240321.1	H7N9
PV221290.1	H7N9
PV221289.1	H7N9
PP829454.1	H7N9
PQ756680.1	H7N9
PQ755600.1	H7N9
OR949948.1	H7N9
OR949940.1	H7N9
OR949932.1	H7N9
OR949924.1	H7N9
OR949420.1	H7N9
OR949196.1	H7N9
MN585891.1	H7N9
MN585883.1	H7N9
OQ927203.1	H7N9
OQ927202.1	H7N9
OQ820949.1	H7N9
OP718212.1	H7N9
OP718197.1	H7N9
OP718205.1	H7N9
OP717070.1	H7N9
OP716879.1	H7N9
OL376619.1	H7N9
OL376618.1	H7N9
OL376617.1	H7N9
OL376616.1	H7N9
OL376613.1	H7N9
OL376612.1	H7N9
OP482234.1	H7N9
OP482226.1	H7N9
OP482218.1	H7N9
OP482212.1	H7N9
OP482206.1	H7N9
OP482201.1	H7N9
OP482195.1	H7N9
OP482190.1	H7N9
OP482186.1	H7N9
OL371231.1	H7N9
OL369973.1	H7N9
MZ803128.1	H7N9
MZ803117.1	H7N9
MF184015.1	H7N9
KC993201.2	H7N9
MW265407.1	H7N9
MW265399.1	H7N9
MW265391.1	H7N9
MW265383.1	H7N9
MW265375.1	H7N9
MW265367.1	H7N9
MW265359.1	H7N9
MW265351.1	H7N9
MW265343.1	H7N9
MW265335.1	H7N9
MW265327.1	H7N9
MW265319.1	H7N9
MW265311.1	H7N9
MW265303.1	H7N9
MW265295.1	H7N9
MW265287.1	H7N9
MW265279.1	H7N9
MW265271.1	H7N9
MW265263.1	H7N9
MW265255.1	H7N9
MW265247.1	H7N9
MW265239.1	H7N9
